backend,t,n,alpha_L_mean,alpha_L_ci95,alpha_L_lower,alpha_L_upper,alpha_T1_mean,alpha_T1_ci95,alpha_T1_lower,alpha_T1_upper,alpha_T2_mean,alpha_T2_ci95,alpha_T2_lower,alpha_T2_upper
face,10.0,100,0.06683355122912095,0.0092436099717124,0.05758994125740855,0.07607716120083335,0.00416211043789365,0.010011166484475956,-0.005849056046582306,0.014173276922369606,0.01150086962090456,0.012821448737539579,-0.0013205791166350182,0.024322318358444138
face,20.0,100,0.08555173726461837,0.01186208829570136,0.07368964896891701,0.09741382556031973,0.005327147896458958,0.00988700052103947,-0.004559852624580512,0.015214148417498428,0.015122414903417904,0.012697458504197952,0.002424956399219951,0.027819873407615856
face,30.0,100,0.11965699369476421,0.016595233294569817,0.1030617604001944,0.13625222698933404,0.007243522001966707,0.010314648327797483,-0.003071126325830776,0.01755817032976419,0.021074827142794697,0.012923411191390299,0.008151415951404398,0.033998238334185
face,40.0,100,0.1490776146245803,0.0208718137069655,0.1282058009176148,0.1699494283315458,0.008348818195163487,0.010944559276945534,-0.0025957410817820468,0.01929337747210902,0.025059251020499308,0.013238269310540608,0.0118209817099587,0.03829752033103992
face,50.0,100,0.17753262830193153,0.025441537429621103,0.15209109087231043,0.20297416573155264,0.009023900725169547,0.011013158981035432,-0.0019892582558658847,0.02003705970620498,0.026979212028980768,0.013010046541382747,0.013969165487598021,0.03998925857036351
face,60.0,100,0.20530689203181088,0.029708874574067762,0.17559801745774312,0.23501576660587864,0.00987982687025998,0.010954977663601376,-0.0010751507933413965,0.020834804533861356,0.026336734962541873,0.012184325884057033,0.01415240907848484,0.038521060846598905
face,70.0,100,0.23074587894762438,0.03288753408457728,0.1978583448630471,0.26363341303220167,0.011582253342681032,0.011058012896500467,0.0005242404461805652,0.0226402662391815,0.023861187782628718,0.011226257635713836,0.012634930146914882,0.03508744541834255
face,80.0,100,0.25315753419242726,0.03513988346183725,0.21801765073059,0.28829741765426453,0.01398388953119002,0.010875480607986326,0.003108408923203694,0.024859370139176346,0.021130790284696575,0.010617857344853801,0.010512932939842774,0.031748647629550375
face,90.0,100,0.27132554851680285,0.03615998353626118,0.23516556498054167,0.30748553205306406,0.015655536347293886,0.010476924988164951,0.0051786113591289346,0.026132461335458837,0.01920328425850619,0.010284027087966689,0.0089192571705395,0.02948731134647288
face,100.0,100,0.28660394265097344,0.03642128144743562,0.2501826612035378,0.32302522409840906,0.016110050422110063,0.010121240717355939,0.005988809704754124,0.026231291139466,0.018223308649498116,0.010235467152832805,0.00798784149666531,0.028458775802330923
face,110.0,100,0.301009583114795,0.03697094762169374,0.26403863549310125,0.3379805307364887,0.016419014202031627,0.010105824885588172,0.006313189316443455,0.0265248390876198,0.018202905924112556,0.010604409971996237,0.007598495952116318,0.02880731589610879
face,120.0,100,0.3160525263713689,0.038514853264529234,0.27753767310683963,0.35456737963589813,0.016608615647899335,0.010298810044649616,0.006309805603249719,0.02690742569254895,0.01870992003118652,0.011077628510885573,0.0076322915203009475,0.029787548542072093
face,130.0,100,0.33255937268254926,0.04088134298249247,0.2916780297000568,0.3734407156650417,0.01615070904802491,0.010498132687054644,0.005652576360970265,0.026648841735079552,0.019335420512152725,0.011561437765213596,0.007773982746939129,0.030896858277366324
face,140.0,100,0.34893072293084243,0.04353021466100447,0.30540050826983794,0.3924609375918469,0.015192821161201055,0.010576505749073359,0.004616315412127696,0.025769326910274414,0.019471572224138315,0.011884368581528415,0.0075872036426099,0.03135594080566673
face,150.0,100,0.36529502805064845,0.046570564524743105,0.31872446352590533,0.41186559257539157,0.013677824825990708,0.010493827888617998,0.0031839969373727104,0.024171652714608707,0.018752691959692834,0.011775268978702076,0.006977422980990758,0.03052796093839491
face,160.0,100,0.3814757743375277,0.049680812847176736,0.331794961490351,0.43115658718470445,0.012079841536200824,0.01041046627697469,0.0016693752592261343,0.022490307813175514,0.018076269221109862,0.011353313767778622,0.00672295545333124,0.029429582988888484
face,170.0,100,0.39403475221494666,0.05129937603268268,0.34273537618226396,0.44533412824762936,0.011005112212568457,0.010190404425775455,0.0008147077867930019,0.02119551663834391,0.01773797335841252,0.010913941493737684,0.006824031864674835,0.028651914852150205
face,180.0,100,0.4029112198929446,0.05152959199060455,0.35138162790234007,0.4544408118835491,0.010870597411144059,0.009874333415656165,0.0009962639954878942,0.020744930826800224,0.016799614203658345,0.010410802743596872,0.006388811460061473,0.027210416947255216
face,190.0,100,0.4097210703506087,0.05108698874384944,0.35863408160675925,0.4608080590944581,0.011435292454210459,0.00962266693289067,0.0018126255213197894,0.02105795938710113,0.015653976061420227,0.009999586421539816,0.00565438963988041,0.025653562482960045
face,200.0,100,0.4135164053489041,0.04982608937713325,0.36369031597177087,0.46334249472603733,0.011943361204379842,0.009520714652939665,0.002422646551440177,0.021464075857319506,0.01413512108381727,0.009777715235836839,0.004357405847980431,0.02391283631965411
face,210.0,100,0.4139884350780437,0.048513994888649214,0.3654744401893945,0.46250242996669294,0.012144603168272036,0.009473822844951615,0.00267078032332042,0.02161842601322365,0.012336502888372604,0.009582735036056469,0.002753767852316135,0.021919237924429073
face,220.0,100,0.4123730531695095,0.046943687502171726,0.3654293656673378,0.4593167406716812,0.011943354573766727,0.00929917733734277,0.002644177236423956,0.021242531911109495,0.011240762481072798,0.00947122147821691,0.0017695410028558869,0.020711983959289706
face,230.0,100,0.4076968497872014,0.04464522016980156,0.36305162961739984,0.45234206995700293,0.011801240796549995,0.009013632547880061,0.002787608248669934,0.02081487334443006,0.010688773210136166,0.009451064389107039,0.0012377088210291272,0.020139837599243204
face,240.0,100,0.4001135010834575,0.04185701196928809,0.3582564891141694,0.4419705130527456,0.011509979015464614,0.008693040864792037,0.0028169381506725766,0.02020301988025665,0.009565866577262579,0.009372328392537361,0.0001935381847252178,0.01893819496979994
face,250.0,100,0.39196906417008703,0.03976178939977911,0.35220727477030794,0.4317308535698661,0.010398301440043084,0.008384361018315429,0.002013940421727655,0.018782662458358513,0.008186150406031805,0.009245982564957986,-0.0010598321589261814,0.01743213297098979
face,260.0,100,0.3832576852790818,0.03862989991570926,0.3446277853633725,0.421887585194791,0.009215709773229275,0.008020090273979572,0.0011956194992497025,0.017235800047208847,0.0072849830188016365,0.009077003830468534,-0.0017920208116668978,0.01636198684927017
face,270.0,100,0.37514644515641626,0.038856596062582655,0.33628984909383364,0.4140030412189989,0.008417968862156748,0.007638479978775257,0.0007794888833814913,0.016056448840932006,0.005970696469650014,0.008794544787733236,-0.0028238483180832216,0.01476524125738325
face,280.0,100,0.36638417429583225,0.03891802969385407,0.3274661446019782,0.4053022039896863,0.00768184989712535,0.0074324981561795424,0.0002493517409458074,0.015114348053304891,0.004466141420439696,0.008483842042435201,-0.004017700621995505,0.012949983462874896
face,290.0,100,0.3547325067659682,0.03876351230113399,0.3159689944648342,0.3934960190671022,0.007405576184706632,0.007328106792609713,7.746939209691845e-05,0.014733682977316344,0.0030232830780770057,0.00813799992545696,-0.005114716847379954,0.011161283003533966
face,300.0,100,0.3388160413944813,0.038965469086894036,0.29985057230758727,0.3777815104813753,0.00759961696695241,0.007198274026203019,0.00040134294074939056,0.014797890993155429,0.0016985916742664733,0.007813085503072192,-0.006114493828805719,0.009511677177338666
face,310.0,100,0.32219334874394373,0.03953979703860841,0.28265355170533535,0.3617331457825521,0.00764530259246708,0.006994907529951251,0.0006503950625158291,0.014640210122418331,0.0008872088704314124,0.0077084152340621825,-0.00682120636363077,0.008595624104493596
face,320.0,100,0.3060410734605189,0.04091211532920867,0.2651289581313102,0.3469531887897276,0.007763913976780342,0.00680294895279618,0.0009609650239841621,0.014566862929576523,0.00046474874302601557,0.007641145748027781,-0.007176397005001765,0.008105894491053795
face,330.0,100,0.2862801559053974,0.04241496092400698,0.24386519498139042,0.3286951168294044,0.008062581794986723,0.006654750259475903,0.0014078315355108206,0.014717332054462625,0.00014761674838248293,0.007529113400686768,-0.007381496652304285,0.007676730149069251
face,340.0,100,0.2656163697144392,0.04417464336343871,0.22144172635100048,0.30979101307787793,0.008000474013437892,0.006449224371034361,0.0015512496424035307,0.014449698384472253,-0.0001963978801455631,0.0073227271686352804,-0.007519125048780844,0.007126329288489717
face,350.0,100,0.24662786481092247,0.04631958593612719,0.20030827887479527,0.29294745074704964,0.007646128935844732,0.006323673448573218,0.001322455487271514,0.013969802384417949,-0.0001775176669480424,0.007061493628881971,-0.007239011295830013,0.006883975961933929
face,360.0,100,0.22826051486189816,0.04768486467971619,0.18057565018218197,0.27594537954161436,0.007361601096027309,0.006261993232801609,0.0010996078632257,0.013623594328828918,0.0005592066627383322,0.006837345689032768,-0.006278139026294436,0.007396552351771101
face,370.0,100,0.20954667274047553,0.0485924667296577,0.16095420601081784,0.2581391394701332,0.007230963315579615,0.006139884407967383,0.0010910789076122324,0.013370847723546998,0.0015256401805816059,0.006602662203351289,-0.005077022022769683,0.008128302383932895
face,380.0,100,0.19042418210045522,0.049603310655545685,0.14082087144490954,0.2400274927560009,0.006750017237933549,0.0059770377454192464,0.0007729794925143028,0.012727054983352797,0.002172119492037109,0.006343015613254422,-0.0041708961212173126,0.00851513510529153
face,390.0,100,0.1725380632706065,0.05004230277654883,0.12249576049405766,0.22258036604715534,0.006072650613320392,0.005746950117288297,0.0003257004960320947,0.011819600730608688,0.0025518192771646136,0.006110298097587784,-0.0035584788204231707,0.008662117374752398
