seed,helicity_norm_face,helicity_norm_kh,delta_kh_minus_face
0,0.0663158,0.0417366,-0.024579199999999995
1,0.0857721,0.0457186,-0.040053500000000006
2,0.0662015,0.0417983,-0.0244032
3,0.0917268,0.0507777,-0.040949099999999995
4,0.0886868,0.0387891,-0.049897699999999996
5,0.0885522,0.0489312,-0.039620999999999996
6,0.0847086,0.0479703,-0.036738299999999995
7,0.0904379,0.0417941,-0.0486438
8,0.0881336,0.0469727,-0.04116090000000001
9,0.0765296,0.0421687,-0.0343609
10,0.0798718,0.043509,-0.03636280000000001
11,0.0769883,0.0473353,-0.029653
12,0.0803055,0.043184,-0.0371215
13,0.0765203,0.041713,-0.0348073
14,0.0644172,0.0370517,-0.027365499999999994
15,0.0783425,0.0424346,-0.03590789999999999
16,0.0764039,0.0412825,-0.0351214
17,0.0818943,0.0400932,-0.0418011
18,0.0908973,0.0445688,-0.0463285
19,0.081295,0.0416032,-0.039691800000000006
20,0.0843301,0.0445457,-0.039784400000000004
21,0.0805476,0.0416497,-0.0388979
22,0.0739589,0.0432634,-0.030695499999999994
23,0.0784669,0.0433643,-0.035102600000000005
24,0.0689332,0.0386487,-0.0302845
25,0.0736279,0.045106,-0.028521899999999996
26,0.0786613,0.0367829,-0.0418784
27,0.0778273,0.0428177,-0.0350096
28,0.0783454,0.0425937,-0.0357517
29,0.0782392,0.0414638,-0.03677539999999999
30,0.0709449,0.0409172,-0.030027700000000004
31,0.0827078,0.0440931,-0.038614699999999995
32,0.0807234,0.0503451,-0.030378300000000004
33,0.0720231,0.0444038,-0.027619300000000006
34,0.0727984,0.0403094,-0.032489
35,0.0798857,0.0413108,-0.0385749
36,0.0791609,0.0450234,-0.03413750000000001
37,0.0757047,0.0427262,-0.0329785
38,0.0724463,0.0373012,-0.035145100000000006
39,0.0779948,0.0397515,-0.0382433
40,0.0804372,0.0449164,-0.0355208
41,0.083673,0.041612,-0.042060999999999994
42,0.0784443,0.0439344,-0.034509899999999996
43,0.0781916,0.0407856,-0.037406
44,0.0883674,0.0448728,-0.0434946
45,0.0693462,0.0396387,-0.029707499999999998
46,0.0839102,0.0430882,-0.040822000000000004
47,0.0759463,0.0370101,-0.0389362
48,0.0759726,0.0397988,-0.0361738
49,0.08515,0.0460517,-0.0390983
50,0.0751563,0.0433141,-0.031842199999999994
51,0.0827828,0.0464079,-0.0363749
52,0.0725981,0.0414591,-0.031139
53,0.0743513,0.044901,-0.029450299999999992
54,0.0838752,0.0455284,-0.0383468
55,0.0902966,0.044966,-0.045330600000000006
56,0.0797992,0.0432132,-0.036586
57,0.0765027,0.0438545,-0.03264820000000001
58,0.0907192,0.0464528,-0.0442664
59,0.0909725,0.0452167,-0.0457558
60,0.0779782,0.0425574,-0.035420799999999995
61,0.0736351,0.0406531,-0.032982
62,0.0686831,0.0416732,-0.027009899999999996
63,0.0950467,0.0453774,-0.0496693
64,0.0889563,0.0430246,-0.0459317
65,0.0783008,0.0397742,-0.0385266
66,0.0844255,0.0412847,-0.0431408
67,0.0740707,0.0366055,-0.037465200000000004
68,0.085688,0.043953,-0.041735
69,0.0739959,0.0389789,-0.035017000000000006
70,0.0782122,0.0473405,-0.030871699999999995
71,0.0705425,0.0357332,-0.034809299999999994
72,0.0737307,0.0422885,-0.0314422
73,0.0765499,0.0417703,-0.0347796
74,0.0969057,0.043581,-0.053324699999999996
75,0.0917846,0.0451354,-0.046649199999999995
76,0.0800674,0.0447163,-0.035351099999999996
77,0.0678246,0.0410165,-0.0268081
78,0.0761665,0.0399998,-0.036166699999999996
79,0.0879501,0.0417112,-0.046238900000000006
80,0.076551,0.0381704,-0.038380599999999994
81,0.0752028,0.0490062,-0.0261966
82,0.0800258,0.044236,-0.0357898
83,0.0702959,0.0405482,-0.029747699999999995
84,0.0783681,0.0430722,-0.0352959
85,0.086393,0.0448865,-0.041506499999999995
86,0.0815127,0.0476621,-0.033850599999999995
87,0.0856188,0.0412738,-0.044344999999999996
88,0.0834671,0.0394899,-0.0439772
89,0.0766052,0.0403104,-0.036294799999999995
90,0.0756295,0.0417337,-0.033895800000000004
91,0.0887262,0.0455005,-0.043225700000000006
92,0.080373,0.0414768,-0.0388962
93,0.0818488,0.0410476,-0.0408012
94,0.075122,0.0445479,-0.030574099999999993
95,0.0735743,0.0392312,-0.034343099999999994
96,0.0615571,0.0370918,-0.024465299999999995
97,0.0775842,0.0429999,-0.034584300000000005
98,0.0785975,0.0384931,-0.0401044
99,0.0869605,0.0476221,-0.039338399999999996
