seed,runtime_face_seconds,runtime_kh_seconds,kh_over_face
0,0.301631,0.308722,1.0235088568482682
1,0.298269,0.322116,1.079951319111272
2,0.296772,0.304916,1.0274419419621799
3,0.300708,0.319514,1.0625390744509626
4,0.296832,0.312134,1.0515510457093575
5,0.297592,0.305717,1.027302481249496
6,0.303203,0.308755,1.0183111644673701
7,0.300429,0.41151,1.3697412699839229
8,0.296027,0.307073,1.0373141639107244
9,0.297513,0.309114,1.0389932540762923
10,0.303575,0.309335,1.0189738944247717
11,0.300476,0.307123,1.022121567113513
12,0.306586,0.310586,1.0130469101655
13,0.303121,0.312942,1.0323996027988824
14,0.297236,0.307079,1.0331151004588945
15,0.299944,0.308858,1.0297188808577602
16,0.300126,0.307981,1.0261723409501342
17,0.298488,0.308993,1.0351940446517114
18,0.299698,0.30884,1.030504040734339
19,0.298327,0.307603,1.0310933975134668
20,0.297645,0.407914,1.3704715348821583
21,0.298935,0.310499,1.0386839948483784
22,0.300007,0.308827,1.0293993140160063
23,0.299403,0.308668,1.0309449137116196
24,0.298514,0.308867,1.0346817904687888
25,0.299875,0.311598,1.0390929553980826
26,0.298523,0.306772,1.0276327117173552
27,0.296046,0.304779,1.0294987941063214
28,0.30117,0.352905,1.1717800577746789
29,0.299936,0.397113,1.3239924517230344
30,0.30065,0.310662,1.0333011807749877
31,0.297157,0.31063,1.0453396689292194
32,0.304014,0.30859,1.0150519383975738
33,0.299765,0.411396,1.3723950427835137
34,0.2956,0.305433,1.0332645466847092
35,0.299556,0.307174,1.025430971170666
36,0.299658,0.308999,1.031172202978062
37,0.307033,0.307466,1.0014102718600282
38,0.300364,0.31075,1.03457804530503
39,0.302805,0.310603,1.0257525470187085
40,0.296454,0.313842,1.058653281790767
41,0.301227,0.309205,1.0264850096438898
42,0.418461,0.309001,0.7384224575288976
43,0.300797,0.308117,1.0243353490892528
44,0.302016,0.31006,1.026634350497987
45,0.296638,0.312586,1.0537624983987215
46,0.298787,0.309174,1.0347638953501992
47,0.343845,0.309628,0.900487138100016
48,0.302542,0.313144,1.0350430684004204
49,0.301226,0.30821,1.0231852496132472
50,0.300449,0.321946,1.0715495807940782
51,0.301072,0.309171,1.026900542063028
52,0.302683,0.305906,1.0106481037917558
53,0.299347,0.306395,1.023544582040241
54,0.3174,0.310095,0.976984877126654
55,0.296023,0.322086,1.088043834431784
56,0.297158,0.308028,1.0365798666029522
57,0.298612,0.306835,1.0275374064002787
58,0.300267,0.309238,1.0298767430320348
59,0.298691,0.30749,1.0294585374182683
60,0.300872,0.307516,1.0220824802573854
61,0.296203,0.305195,1.0303575588363385
62,0.300837,0.311148,1.0342743744951584
63,0.29805,0.305234,1.024103338366046
64,0.300177,0.307505,1.024412263431242
65,0.298428,0.328411,1.1004697950594446
66,0.296856,0.30788,1.0371358503786348
67,0.298903,0.310537,1.0389223259719709
68,0.297023,0.310014,1.043737353672948
69,0.302239,0.309327,1.0234516392656143
70,0.299605,0.311029,1.0381302047696133
71,0.3008,0.310816,1.0332978723404254
72,0.298473,0.307656,1.0307666020042014
73,0.300486,0.307918,1.0247332654433152
74,0.308266,0.307667,0.9980568729603655
75,0.297275,0.30709,1.0330165671516272
76,0.29969,0.308375,1.0289799459441422
77,0.300364,0.311396,1.0367287690934999
78,0.300199,0.307288,1.0236143358239036
79,0.297169,0.306023,1.0297944940421107
80,0.298627,0.308014,1.0314338623098382
81,0.298909,0.31005,1.0372722132823033
82,0.301005,0.310526,1.0316307038089068
83,0.301689,0.307854,1.0204349512246056
84,0.299448,0.309158,1.0324263311159199
85,0.303859,0.31086,1.0230402917142492
86,0.315556,0.306981,0.9728257424989543
87,0.301015,0.312622,1.0385595402222483
88,0.298642,0.308367,1.032564073372131
89,0.302184,0.312538,1.0342638921981309
90,0.301148,0.308989,1.0260370316256457
91,0.295884,0.307527,1.0393498803585188
92,0.298783,0.307052,1.0276756040336965
93,0.29737,0.30849,1.0373944917106634
94,0.32576,0.30979,0.9509761787819254
95,0.306584,0.306283,0.9990182136054067
96,0.303322,0.311186,1.0259262433981051
97,0.297467,0.309503,1.0404616310380648
98,0.300283,0.31352,1.0440817495495915
99,0.299355,0.306871,1.0251073140585594
