id,x coord,y coord,z coord
0,672.381,779.6,407.243
1,845.557,867.049,1059.33
2,790.932,770.227,357.286
3,531.576,666.851,778.33
4,490.866,923.542,610.253
5,507.577,409.969,832.515
6,894.497,394.899,588.889
7,783.599,1071.47,764.22
8,995.196,937.105,824.583
9,320.316,475.437,521.83
10,405.891,256.696,564.939
11,519.883,509.592,842.45
12,449.175,315.36,419.168
13,756.607,600.915,521.937
14,794.268,773.528,385.882
15,481.11,840.534,255.334
16,770.94,1117.11,1071.79
17,781.864,756.891,690.762
18,770.446,756.817,407.486
19,615.629,761.426,495.832
20,535.863,238.371,662.269
21,736.986,783.884,882.122
22,644.626,1103.8,717.063
23,987.564,357.962,1027.47
24,479.775,1069.15,227.111
25,285.154,894.518,974.122
26,520.898,706.57,181.348
27,569.488,685.383,198.337
28,730.627,481.697,462.474
29,542.14,549.92,680.499
30,638.263,1046.79,614.19
31,257.244,483.597,382.188
32,309.509,206.815,173.72
33,936.451,1178.3,856.304
34,908.576,835.693,500.709
35,401.123,547.86,326.425
36,412.894,237.862,431.992
37,696.412,683.151,795.631
38,514.208,812.089,330.725
39,1505.21,1038.32,887.683
40,862.941,980.605,167.004
41,627.057,872.527,724.021
42,677.246,383.394,536.485
43,574.22,561.443,363.51
44,751.526,234.389,334.08
45,520.29,480.294,750.505
46,545.961,536.255,369.384
47,308.807,250.286,1044.69
48,370.537,235.756,221.782
49,744.624,914.665,230.21
50,720.362,855.532,698.325
51,800.989,552.039,414.274
52,534.375,781.84,503.565
53,596.334,784.037,286.344
54,881.222,842.879,369.728
55,367.027,961.275,638.861
56,1036,1121.38,197.284
57,632.849,1097.43,425.28
58,844.341,962.012,818.695
59,539.755,612.703,168.649
60,783.97,424.052,589.989
61,1056.19,339.059,783.797
62,599.834,570.084,750.41
63,144.789,821.056,206.014
64,599.978,324.473,276.726
65,767.556,1144.78,1079.34
66,523.668,634.157,1009.32
67,424.601,870.268,736.512
68,632.829,959.964,270.793
69,435.242,381.793,302.071
70,589.358,392.614,879.977
71,909.037,432.625,675.528
72,620.265,957.072,444.047
73,937.391,833.926,1024.51
74,254.168,95.776,802.615
75,564.319,883.137,719.201
76,368.112,590.723,691.553
77,852.547,875.932,350.027
78,569.82,247.403,666.142
79,767.909,1052.66,298.093
80,471.885,823.817,287.757
81,664.28,909.718,234.479
82,331.709,327.082,1077.28
83,270.716,1194.69,624.978
84,1185.59,297.409,709.447
85,229.1,821.784,1015.06
86,994.838,757.627,851.919
87,708.884,278.408,810.984
88,122.773,188.194,244.627
89,719.931,873.49,201.755
90,768.197,552.858,1055.27
91,573.079,352.623,742.707
92,559.312,513.56,985.585
93,462.233,255.869,515.125
94,947.994,341.235,913.957
95,197.385,816.986,1005.06
96,320.635,1080.68,1053
97,417.103,832.823,304.467
98,896.321,343.263,670.447
99,734.16,1072.67,122.362
100,1117.57,538.761,1047.84
101,563.137,924.898,1145.71
102,479.255,244.678,1026.12
103,481.254,770.073,1046.68
104,145.388,977.118,835.113
105,418.18,476.066,538.653
106,604.661,694.434,714.669
107,795.011,721.694,992.421
108,344.451,940.979,644.515
109,702.52,985.316,837.712
110,783.188,792.02,913.365
111,1044.12,755.599,434.904
112,367.796,559.104,684.13
113,427.974,500.744,906.557
114,998.78,168.144,884.517
115,744.287,502.559,292.037
116,401.358,474.879,1056.53
117,1085.71,1093.89,677.57
118,654.9,782.183,391.615
119,595.367,758.992,1015.79
120,834.749,776.6,475.392
121,694.182,610.006,988.724
122,353.257,441.238,904.962
123,739.921,1076.28,620.055
124,661.3,1233.55,985.103
125,500.22,270.123,848.788
126,851.698,748.177,333.76
127,844.322,744.316,360.328
128,590.705,883.958,289.098
129,603.491,617.996,331.655
130,831.211,876.516,291.603
131,500.05,262.13,1020.44
132,590.319,377.581,353.264
133,814.554,882.119,193.427
134,988.277,1065.25,647.197
135,622.243,176.19,1069.39
136,737.064,773.439,904.834
137,925.939,378.705,567.164
138,793.369,512.968,461.155
139,620.688,1136.1,723.968
140,666.457,510.382,263.853
141,618.811,1046.36,449.498
142,211.337,177.758,427.511
143,511.089,1063.53,119.163
144,841.009,544.748,412.843
145,865.623,198.869,894.948
146,709.283,411.291,713.466
147,706.8,677.137,265.851
148,317.867,424.947,907.849
149,672.126,1202.2,985.737
150,749.135,415.702,276.473
151,238.753,721.325,414.803
152,820.618,397.355,988.764
153,266.529,544.071,341.202
154,403.549,638.542,755.036
155,575.731,450.745,493.194
156,135.065,711.438,174.496
157,679.132,303.193,212.107
158,629.799,800.861,306.847
159,490.372,388.258,851.488
160,517.41,1078.27,56.4345
161,619.631,791.844,318.398
162,509.875,216.126,748.522
163,667.383,374.745,285.704
164,362.51,818.285,1077.54
165,473.712,1223.09,654.365
166,314.638,263.839,220.413
167,299.142,954.187,1043.7
168,439.525,263.021,1069.55
169,715.075,892.488,1112.5
170,632.628,727.545,1047.06
171,632.083,305.323,215.788
172,685.227,1018.81,984.261
173,1072.06,150.617,898.378
174,742.484,654.908,710.668
175,904.587,396.294,871.271
176,643.843,1049.67,616.925
177,595.116,249.679,1030.28
178,737.585,613.324,867.588
179,845.669,267.573,303.846
180,871.708,293.123,812.484
181,841.131,852.619,1112.3
182,538.405,461.672,701.073
183,438.167,364.482,559.522
184,905.427,361.463,806.76
185,579.381,829.395,1097.08
186,538.577,289.012,295.469
187,905.381,664.481,1083.75
188,601.473,505.615,732.377
189,412.798,943.631,592.918
190,474.69,313.882,479.192
191,561.748,271.122,709.821
192,890.631,378.759,878.388
193,235.144,1009.05,1075.32
194,394.412,1175.61,844.329
195,1097.43,816.025,371.182
196,440.358,704.676,506.302
197,241.311,279.544,590.977
198,490.158,533.67,374.758
199,942.013,399.556,673.17
200,677.438,626.334,353.868
201,963.475,937.771,888.502
202,792.105,1149.09,129.01
203,361.378,338.195,277.744
204,592.485,643.419,652.195
205,912.488,410.889,654.36
206,459.533,642.718,724.708
207,265.332,339.444,850.296
208,824.837,327.506,864.53
209,619.048,1153.96,325.206
210,951.861,801.92,921.921
211,110.305,705.121,222.081
212,1038.1,764.221,375.072
213,898.537,180.207,860.23
214,346.264,210.749,1046.73
215,393.152,646.816,751.703
216,673.856,236.34,840.692
217,758.875,262.28,375.569
218,401.026,212.964,1016.24
219,824.134,604.318,396.278
220,684.286,407.184,278.454
221,1340.52,352.33,708.769
222,638.129,636.071,762.325
223,881.94,784.818,887.939
224,494.886,282.974,410.996
225,588.356,497.248,1104.16
226,930.665,856.128,401.94
227,557.038,1086.39,609.677
228,790.94,824.16,351.337
229,911.435,504.66,991.216
230,832.553,730.37,324.069
231,719.062,756.385,746.634
232,573.989,900.803,552.323
233,527.173,725.845,239.619
234,251.373,940.409,1068.64
235,704.551,1218.42,1002.92
236,537.723,741.882,609.296
237,1110.53,780.669,430.523
238,655.05,661.489,1112.22
239,123.819,926.629,295.756
240,655.83,1199.46,1064.4
241,1135.18,247.795,748.907
242,261.606,805.775,1048
243,735.026,761.376,414.289
244,549.442,546.515,755.844
245,276.976,739.169,158.243
246,651.51,555.607,848.86
247,567.835,862.554,587.876
248,625.387,263.808,338.362
249,901.489,180.809,908.023
250,337.441,810.452,1117.01
251,520.61,522.313,969.095
252,610.367,1179.61,1051.38
253,716.217,736.829,603.384
254,277.197,328.896,855.61
255,710.698,341.786,976.932
256,171.176,309.466,295.836
257,390.177,305.49,1121.58
258,897.102,836.863,501.831
259,581.813,1047.39,277.447
260,368.487,749.764,953.353
261,402.769,447.991,755.311
262,346.907,268.089,304.354
263,719.995,418.244,413.089
264,573.812,234.798,437.762
265,342.451,312.307,1044.74
266,404.828,825.065,316.32
267,376.32,331.809,1151.5
268,474.09,355.753,873.013
269,795.261,397.972,619.827
270,781.219,329.316,646.219
271,578.009,736.975,615.318
272,971.291,433.338,1080.87
273,857.684,324.472,940.534
274,971.762,971.395,222.299
275,789.219,937.783,648.528
276,193.466,528.905,363.973
277,490.484,1048.14,117.821
278,511.328,352.152,862.56
279,665.237,391.892,313.266
280,430.085,1006.3,1025.72
281,593.057,1016.92,769.401
282,1156.97,335.55,687.039
283,396.161,816.93,1058.91
284,801.756,405.506,963.378
285,317.69,523.451,367.32
286,337.878,922.913,706.192
287,588.209,639.994,354.595
288,233.696,533.712,339.079
289,832.152,1173.72,760.298
290,374.188,236.598,215.225
291,337.994,551.444,669.509
292,781.245,407.466,985.347
293,631.819,339.073,878.759
294,822.131,419.965,631.906
295,666.625,804.44,215.878
296,876.242,865.849,291.329
297,909.481,139.096,872.191
298,730.16,880.422,1014.66
299,380.427,680.452,190.564
300,695.182,283.417,965.512
301,318.248,385.445,319.901
302,387.563,181.442,807.919
303,950.892,405.119,730.019
304,654.302,1166.27,769.317
305,310.433,192.675,217.369
306,823.741,437.058,614.757
307,443.926,816.617,239.564
308,633.279,481.947,933.56
309,687.559,627.961,346.578
310,639.364,681.286,225.605
311,226.457,915.466,252.192
312,751.893,500.371,304.686
313,590.682,165.741,561.756
314,820.43,734.975,480.715
315,465.938,327.956,879.381
316,363.495,421.136,305.942
317,817.787,376.07,930.692
318,826.718,460.784,515.65
319,260.755,717.653,409.461
320,296.175,235.302,206.986
321,299.86,290.465,593.204
322,617.561,573.702,759.252
323,717.743,320.749,850.281
324,660.53,874.316,309.522
325,563.146,283.741,375.767
326,844.524,393.191,657.001
327,360.709,983.086,1007.91
328,184.627,805.624,907.327
329,669.229,1170.91,752.997
330,469.503,122.431,773.961
331,929.676,470.405,1070.77
332,177.538,555.735,941.902
333,988.172,598.049,826.618
334,325.711,591.07,690.866
335,607.075,575.62,1086.29
336,750.977,665.682,535.601
337,953.793,1008.75,901.874
338,895.109,995.71,163.089
339,631.699,842.12,740.315
340,338.598,657.948,371.862
341,946.14,853.562,1022.88
342,925.871,766.03,762.297
343,1041.58,161.143,963.059
344,536.136,1085.89,1071.3
345,679.216,249.619,329.376
346,242.743,348.093,852.533
347,1010.64,481.709,1071.19
348,301.234,217.154,1048.67
349,473.657,865.242,737.79
350,611.878,842.699,1070.52
351,826.143,783.535,296.018
352,307.955,174.246,414.858
353,945.364,1011.18,900.255
354,858.349,913.226,1050.15
355,619.239,268.414,464.79
356,835.943,352.124,896.251
357,909.314,1028.61,156.73
358,798.474,989.947,381.356
359,931.398,274.196,890.646
360,661.708,664.866,866.84
361,531.854,989.597,1139.03
362,862.664,692.611,1061.28
363,548.186,707.249,313.11
364,244.724,168.245,443.218
365,802.873,1001.59,361.422
366,446.022,528.101,655.69
367,976.682,300.633,944.887
368,576.049,189.377,659.242
369,957.503,902.059,1029.59
370,731.17,1165.22,967.416
371,252.239,304.13,317.856
372,773.825,848.533,1096.82
373,385.35,1105.24,598.196
374,592.84,1163.26,749.836
375,527.631,540.352,521.192
376,497.212,785.377,209.821
377,474.143,148.081,1023.92
378,169.679,921.158,290.632
379,938.06,760.603,733.768
380,772.146,542.129,851.745
381,546.825,656.892,792.489
382,579.836,515.362,600.598
383,594.566,564.39,759.301
384,688.163,787.935,940.433
385,638.231,223.484,1104.87
386,832.849,1028.72,502.737
387,723.346,766.939,745.041
388,654.556,559.576,767.502
389,821.002,189.776,584.01
390,580.123,271.981,362.024
391,707.005,209.529,317.833
392,764.287,277.651,355.082
393,651.237,940.487,828.09
394,249.515,821.388,176.301
395,634.905,464.615,401.68
396,755.894,673.156,1003.6
397,485.476,623.053,330.106
398,397.832,361.772,522.724
399,938.748,373.997,566.524
400,501.441,880.111,440.107
401,808.147,873.098,214.115
402,691.006,599,948.669
403,566.697,1087,470.033
404,442.743,686.424,894.737
405,247.525,785.235,1062.83
406,528.784,523.366,965.438
407,489.519,1025.95,105.41
408,287.627,169.442,419.936
409,590.773,1014.69,789.08
410,608.711,219.129,767.12
411,720.831,579.887,1086.1
412,249.826,771.127,549.663
413,467.922,240.876,204.649
414,601.155,1147.71,724.39
415,891.919,575.249,303.583
416,247.674,163.997,398.054
417,958.038,320.059,914.155
418,545.249,428.899,248.03
419,609.416,690.98,780.674
420,407.12,778.066,764.271
421,514.785,299.805,321.587
422,825.407,671.354,1041.29
423,635.75,797.038,296.472
424,1058.93,691.845,564.917
425,892.42,377.07,810.451
426,989.362,632.405,794.209
427,545.029,274.241,161.874
428,922.059,421.893,656.519
429,684.768,663.011,691.507
430,281.355,810.346,1059.3
431,604.983,762.945,695.677
432,653.406,841.942,201.221
433,1052.57,753.354,495.457
434,461.181,642.371,735.562
435,596.848,1007.5,669.693
436,390.938,813.626,1135.55
437,563.872,745.479,1007.5
438,437.157,367.978,533.976
439,800.592,497.091,1033.03
440,856.719,677.813,748.413
441,468.666,585.391,360.189
442,694.234,591.965,1013.3
443,868.181,841.043,309.69
444,1082.99,1044.39,696.856
445,1290.17,336.502,720.803
446,242.15,243.045,370.182
447,356.123,917.492,703.927
448,381.615,728.975,759.084
449,700.286,394.136,475.422
450,645.107,162.225,472.193
451,792.639,373.576,607.989
452,569.843,481.147,737.222
453,477.676,1066.06,66.1477
454,552.24,332.23,345.585
455,588.706,1056.95,214.629
456,347.643,985.234,647.978
457,1490.87,1011.26,846.726
458,384.324,286.927,586.642
459,539.186,706.315,879.138
460,726.706,1145.35,1100.42
461,680.03,943.849,423.667
462,1104.49,562.989,1059.67
463,704.958,380.513,546.054
464,855.967,727.418,399.728
465,416.511,1002.44,1104.88
466,545.074,1124.88,116.586
467,572.458,535.46,1099.87
468,1042.37,617.557,794.318
469,606.298,405.063,312.2
470,319.794,764.901,1127.57
471,989.056,1080.86,180.357
