t,Dx,Dy,Dz
0,0.000629381,13472.1,13565.3
12.8905,0.00315083,-0.0797349,-0.208296
102395,2.21033,0.0169612,0.00842375
204791,2.95297,0.100643,0.0560668
307186,2.48227,0.0180885,0.0652188
409581,2.49641,0.00691016,0.0445058
511977,2.35928,0.0721202,-0.00446724
614372,2.59006,-0.00478445,-0.0194399
716767,2.38949,0.0576284,-0.00182079
819163,2.51635,-0.0186861,0.0712901
921558,2.86363,0.0288404,0.00807827
1.02395e+06,2.59549,0.0574427,0.0749422
1.12635e+06,2.2768,0.0299414,-0.00715109
1.22874e+06,2.6413,0.00568298,0.080038
1.33114e+06,3.0376,0.0774151,0.0420229
1.43353e+06,1.9369,0.0518463,0.0376436
1.53593e+06,2.19316,-0.02213,0.0391679
1.63833e+06,2.33562,0.0116659,0.0361514
1.74072e+06,2.61506,0.0433143,-0.0276723
1.84312e+06,2.68726,0.0071091,-0.0255008
1.94551e+06,2.95351,0.011069,0.0325259
2.04791e+06,2.4525,0.0292818,-0.0434212
2.1503e+06,2.17313,0.0155716,0.0537229
2.2527e+06,1.00272,0.00191301,0.0103676
2.35509e+06,-1.04052,0.0814538,0.0437752
2.45749e+06,-2.73619,-0.00752625,0.0214907
2.55988e+06,-4.80311,-0.00319425,0.00716533
2.66228e+06,-6.01582,-0.0143984,0.036999
2.76467e+06,-7.00446,0.0179133,-0.0122436
2.86707e+06,-6.80896,-0.0116406,0.0362092
2.96946e+06,-5.92444,-0.0104631,-0.0049698
3.07186e+06,-5.07122,0.0129253,0.024067
3.17426e+06,-4.06246,-0.0269475,-0.00694593
3.27665e+06,-2.89335,0.00631197,0.0130854
3.37905e+06,-2.01341,-0.000536405,-0.00745641
3.48144e+06,-1.35142,0.00570891,0.00841633
3.58384e+06,-0.893361,0.00719586,0.00258445
3.68623e+06,-0.45758,-0.000532726,-0.00786643
3.78863e+06,-0.293625,0.00353061,0.00230372
3.89102e+06,-0.22145,-0.00199412,0.0126012
3.99342e+06,-0.104605,0.000478498,0.00469992
4.09581e+06,-0.0933211,0.00378028,0.000466832
4.19821e+06,-0.0337291,0.000980323,-0.00205846
4.3006e+06,-0.101825,0.00405491,-0.000762141
4.403e+06,-0.0437591,0.00016876,-2.48792e-05
4.50539e+06,-0.0119697,-0.000679257,0.000217186
4.60779e+06,-0.0120797,0.000304173,0.000428444
4.71019e+06,-0.0085553,0.00031009,0.000405385
4.81258e+06,-0.0105299,0.000690159,0.000185682
4.91498e+06,-0.00907471,0.000148744,0.000449313
5.01737e+06,-0.0313619,0.000551441,-0.000106475
5.11977e+06,-0.00240194,0.000447311,0.000517825
5.22216e+06,-0.00429783,0.000419347,0.000586636
5.32456e+06,-0.0120441,0.000655425,-0.000237765
5.42695e+06,-0.00213448,0.000381128,0.000431239
5.52935e+06,-0.00675074,0.000128098,0.000578981
5.63174e+06,-0.00259533,0.00116182,0.000942569
5.73414e+06,-0.000672524,0.000118474,0.000282448
5.83653e+06,0,0.000362504,0.001141
5.93893e+06,0,0.000303168,0.00119891
6.04132e+06,0,0.000277873,0.00130851
6.14372e+06,0,0.000212862,0.00134189
6.24612e+06,0,0.000282825,0.00131224
6.34851e+06,0,9.01001e-05,0.00110182
6.45091e+06,0,0.000152087,0.00102157
6.5533e+06,0,0.000150895,0.000873781
6.6557e+06,0,0.000151149,0.000756271
6.75809e+06,0,0.000109693,0.000667893
6.86049e+06,0,0.000128316,0.000512081
6.96288e+06,0,8.49003e-05,0.000389648
7.06528e+06,0,0.000157181,0.000374548
7.16767e+06,0,9.80762e-05,0.000362873
7.27007e+06,0,0.000110861,0.000269633
7.37246e+06,0,0.000145434,0.000254046
7.47486e+06,0,7.94484e-05,0.000247966
7.57725e+06,0,0.000127488,0.000246113
7.67965e+06,0,0.000134828,0.000237045
7.78204e+06,0,0.000134457,0.000238264
7.88444e+06,0,0.000153122,0.000234451
7.98684e+06,0,0.000194446,0.000248483
8.08923e+06,0,0.000192183,0.000268722
8.19163e+06,0,0.000149731,0.00028323
8.29402e+06,0,0.000154637,0.000338734
8.39642e+06,0,0.000165433,0.000418283
8.49881e+06,0,0.000199941,0.00044436
8.60121e+06,0,0.000219139,0.000419483
8.7036e+06,0,0.000181932,0.000416641
8.806e+06,0,0.000264276,0.000356573
8.90839e+06,0,0.000259813,0.000296054
9.01079e+06,0,0.000215369,0.000253591
9.11318e+06,0,0.000446823,0.000210457
9.21558e+06,0,0.000305683,0.00021285
9.31797e+06,0,0.000288935,0.000192269
9.42037e+06,0,0.000436436,0.000159621
9.52277e+06,0,0.000319579,0.000148561
9.62516e+06,0,0.000375609,0.000135043
9.72756e+06,0,0.000388309,0.000134523
9.82995e+06,0,0.000184499,0.000123751
9.93235e+06,0,0.000331192,0.000113415
1.00347e+07,0,0.000293506,9.75217e-05
1.01371e+07,0,0.000182241,9.40805e-05
1.02395e+07,0,0.000206038,8.74085e-05
