t,Dx,Dy,Dz
0,0.00143933,3943.01,3945.21
44.3933,0.00719907,-0.211431,-0.0576088
25592.8,0.532354,0.00524171,-0.109988
51185.5,0.753535,-0.141567,-0.0706558
76778.3,0.551037,0.0616505,0.0888291
102371,0.701252,-0.0725919,0.0985333
127964,0.547443,-0.0271812,0.0460609
153557,0.458835,-0.0317888,-0.0616768
179149,0.549716,0.0908156,-0.0511213
204742,0.494028,-0.0465269,-0.0171083
230335,-2.55214,-0.0208214,0.0604518
255928,-1.84302,0.0461955,0.0102087
281520,-0.106749,-0.00378621,0.0105766
307113,-0.00703546,0.0012197,0.0095564
332706,0,0.0025017,0.00752108
358299,0,0.00352343,0.00636518
383891,-5.22962e-07,0.0042116,0.0058565
409484,0,0.00458532,0.00563539
435077,0,0.00468664,0.00557232
460670,0,0.00451336,0.00531416
486262,0,0.00414161,0.00484634
511855,0,0.00361741,0.00463525
537448,0,0.0033519,0.00463145
563041,0,0.00300641,0.00478402
588633,0,0.00259373,0.00484795
614226,0,0.00222059,0.00498294
639819,0,0.00174599,0.00491764
665412,0,0.00127236,0.00488997
691004,0,0.000912262,0.00488747
716597,0,0.000725634,0.00468054
742190,0,0.000643788,0.00435686
767783,0,0.00065358,0.004008
793375,0,0.000669465,0.00359288
818968,0,0.000789589,0.0032251
844561,0,0.000989395,0.00287827
870154,0,0.00113003,0.00259456
895746,0,0.00120219,0.00229779
921339,0,0.0012627,0.00199873
946932,0,0.00123151,0.00183866
972525,0,0.00116559,0.00174633
998117,0,0.00106444,0.00170964
1.02371e+06,0,0.000963375,0.00176205
1.0493e+06,0,0.000918424,0.00176545
1.0749e+06,0,0.000880985,0.00184304
1.10049e+06,0,0.00095326,0.00176135
1.12608e+06,0,0.000978894,0.00168289
1.15167e+06,0,0.000940246,0.00156018
1.17727e+06,0,0.000919841,0.00143528
1.20286e+06,0,0.000926748,0.00131219
1.22845e+06,0,0.00087043,0.00128098
1.25404e+06,0,0.000790594,0.00125145
1.27964e+06,0,0.000732788,0.00126596
1.30523e+06,0,0.000713542,0.00122713
1.33082e+06,0,0.000791065,0.00118569
1.35642e+06,0,0.000863031,0.00108972
1.38201e+06,0,0.000888984,0.00100486
1.4076e+06,0,0.000899017,0.000960415
1.43319e+06,0,0.000909642,0.000978615
1.45879e+06,0,0.000907777,0.000994311
1.48438e+06,0,0.000888447,0.00101836
1.50997e+06,0,0.000883356,0.000993044
1.53557e+06,0,0.000849543,0.000962877
1.56116e+06,0,0.00083356,0.000976518
1.58675e+06,0,0.000814776,0.00101524
1.61234e+06,0,0.00080536,0.00110677
1.63794e+06,0,0.000831979,0.00119305
1.66353e+06,0,0.000843206,0.00120232
1.68912e+06,0,0.000844039,0.00123206
1.71471e+06,0,0.000842518,0.00121616
1.74031e+06,0,0.000870838,0.00116996
1.7659e+06,0,0.000871788,0.00105639
1.79149e+06,0,0.000855395,0.000950151
1.81709e+06,0,0.000833013,0.000873825
1.84268e+06,0,0.000824921,0.000837571
1.86827e+06,0,0.000815876,0.000820759
1.89386e+06,0,0.000788968,0.000807688
1.91946e+06,0,0.00079361,0.000777736
1.94505e+06,0,0.000799148,0.00072262
1.97064e+06,0,0.000793359,0.000649068
1.99623e+06,0,0.000788662,0.000585524
2.02183e+06,0,0.00079266,0.000512424
2.04742e+06,0,0.000798805,0.000478253
2.07301e+06,0,0.000827929,0.000437373
2.09861e+06,0,0.000843153,0.00040284
2.1242e+06,0,0.000848461,0.000383416
2.14979e+06,0,0.000881127,0.000323996
2.17538e+06,0,0.000934949,0.000264473
2.20098e+06,0,0.000999311,0.000253789
2.22657e+06,0,0.00107964,0.000234926
2.25216e+06,0,0.00112605,0.000212247
2.27776e+06,0,0.00112021,0.000185664
2.30335e+06,0,0.00107594,0.000201721
2.32894e+06,0,0.00101345,0.000241031
2.35453e+06,0,0.000959776,0.000268387
2.38013e+06,0,0.000919008,0.000236499
2.40572e+06,0,0.000868214,0.000170083
2.43131e+06,0,0.000827196,8.10974e-05
2.4569e+06,0,0.000810326,2.31404e-05
2.4825e+06,0,0.000814442,1.92798e-06
2.50809e+06,0,0.000865923,4.71914e-05
2.53368e+06,0,0.000901729,8.03662e-05
2.55928e+06,0,0.000946814,9.15299e-05
