id,x coord,y coord,z coord
0,10240,652.201,323.688
1,10240,873.064,1157.2
2,10240,855.738,294.436
3,10240,633.605,737.935
4,10240,941.114,501.969
5,10240,474.337,891.054
6,10240,463.272,411.263
7,10240,1071.39,702.832
8,10240,1071.19,702.749
9,10240,652.199,323.688
10,10239.9,249.54,431.697
11,10240,633.605,737.935
12,10240,251.889,325.236
13,10240,575.524,411.37
14,10239.9,897.593,399.715
15,10239.9,889.706,373.507
16,10240,1092.9,1163.57
17,10239.9,633.605,737.935
18,10240,575.569,411.372
19,10240,777.631,567.129
20,10240,448.075,573.408
21,10240,629.249,897.571
22,10239.9,1192.9,781.288
23,10240,420.038,922.859
24,10239.9,1125.54,338.238
25,10240,854.485,971.995
26,10239.9,731.589,216.709
27,10240,779.329,195.271
28,10240,419.797,559.169
29,10240,633.605,737.935
30,10240,1071.65,702.868
31,10240,652.197,323.688
32,10240,61.1931,395.812
33,10240,1192.9,781.288
34,10240,778.241,567.867
35,10240,512.931,239.241
36,10240,259.119,492.461
37,10240,693.264,869.742
38,10240,731.589,216.709
39,10240,853.531,776.063
40,10239.9,1125.54,338.238
41,10239.9,893.352,679.012
42,10239.9,514.935,592.733
43,10239.9,639.565,306.911
44,10240,255.391,411.525
45,10239.9,633.513,736.024
46,10239.9,628.037,290.096
47,10240,197.557,1247.42
48,10240,141.858,185.951
49,10239.9,1125.54,338.239
50,10240,781.855,577.895
51,10240,444.699,414.358
52,10240,683.168,481.866
53,10240,869.471,294.376
54,10239.9,778.526,568.192
55,10240,1051.26,698.313
56,10240,985.253,88.0858
57,10240,1125.54,338.238
58,10239.9,1068.38,701.549
59,10240,583.869,106.48
60,10240,514.777,592.71
61,10240,390.763,844.794
62,10240,633.605,737.935
63,10240,941.113,501.964
64,10240,251.863,324.839
65,10240,1007.99,978
66,10240,530.441,1157.37
67,10240,1055.61,699.044
68,10240,1007.92,456.71
69,10240,251.899,325.077
70,10240,422.876,749.927
71,10240,422.784,749.92
72,10240,941.114,501.967
73,10240,873.076,1157.21
74,10240,249.233,836.211
75,10239.9,895.284,680.756
76,10239.9,633.605,737.935
77,10239.9,941.114,501.967
78,10240,275.176,674.437
79,10240,1075.24,498.566
80,10240,927.582,205.337
81,10240,927.582,205.332
82,10240,346.769,1023.59
83,10240,1071.72,702.876
84,10240,414.527,739.489
85,10240,758.125,1053.41
86,10239.9,853.572,776.112
87,10240,346.748,1023.21
88,10240,133.69,201.263
89,10239.9,892.783,285.664
90,10240,346.768,1023.55
91,10240,377.874,780.847
92,10240,391.373,845.928
93,10240,258.842,499.325
94,10239.9,346.768,1023.55
95,10240,760.01,1058.54
96,10240,1092.83,1164.72
97,10240,652.2,323.688
98,10240,415.485,742.657
99,10240,927.582,205.233
100,10240,419.834,922.944
101,10240,873.033,1157.11
102,10240,185.152,1241.41
103,10240,759.699,1057.08
104,10239.9,1071.65,702.87
105,10240,682.883,482.186
106,10240,633.605,737.935
107,10240,613.459,1031.17
108,10240,1062,700.272
109,10239.9,1071.7,702.873
110,10240,678.955,816.832
111,10240,652.2,323.688
112,10239.9,515.026,592.988
113,10240,633.605,737.935
114,10239.9,145.009,763.712
115,10240,457.394,404.906
116,10240,473.912,885.555
117,10240,1192.9,781.288
118,10239.9,652.201,323.688
119,10239.9,629.249,897.571
120,10240,895.492,394.844
121,10240,613.465,1031.04
